Date,Folio
15/11/1738,f127r
,
11/02/1737,f127r
11/02/1737,f127r
11/02/1737,f127r
11/02/1737,f127r
11/02/1737,f127r
11/02/1737,f127r
11/02/1737,f127r
11/02/1737,f127r
11/02/1737,f127r
11/02/1737,f127r
,
15/03/1756?,127v
15/03/1756?,127v
15/03/1756?,127v
15/03/1756?,127v
15/03/1756?,127v
15/03/1756?,127v
15/03/1756?,127v
15/03/1756?,127v
15/03/1756?,127v
15/03/1756?,127v
15/03/1756?,127v
15/03/1756?,127v
,
23/04/1737,f128r
23/04/1737,f128r
23/04/1737,f128r
23/04/1737,f128r
23/04/1737,f128r
23/04/1737,f128r
23/04/1737,f128r
23/04/1737,f128r
23/04/1737,f128r
,
02/03/1738,f128r
02/03/1738,f128r
02/03/1738,f128r
02/03/1738,f128r
02/03/1738,f128r
02/03/1738,f128r
02/03/1738,f128r
,
21/03/175?,f128v
21/03/175?,f128v
21/03/175?,f128v
21/03/175?,f128v
21/03/175?,f128v
21/03/175?,f128v
,
15/12/1798,f128v
15/12/1798,f128v
,
30/09/1747,f131r
30/09/1747,f131r
,
27/03/1750,f131r
27/03/1750,f131r
27/03/1750,f131r
,
13/11/1750,f131r
13/11/1750,f131r
13/11/1750,f131r
13/11/1750,f131r
13/11/1750,f131r
13/11/1750,f131r
13/11/1750,f131r
13/11/1750,f131r
13/11/1750,f131r
13/11/1750,f131r
